commons-imaging,a32cb5b3d2179f55b1b23d372217c84ed20e7afc,org.apache.commons.imaging.common.itu_t4.HuffmanTreeExceptionTest,testCreatesHuffmanTreeExceptionTakingString,66,#66
commons-bcel,988802e00cc2ab1eb15f7e6f8a29708bb240c7d5,org.apache.commons.bcel6.util.BCELifierTestCase,test,66,#66
commons-codec,1e531f785c26d608c489ca20636489b898faf964,org.apache.commons.codec.language.bm.CacheSubSequencePerformanceTest,test,66,#66
commons-collections,159b36e66e6bc64039294c7c04bd147a9888fdd6,org.apache.commons.collections4.set.TransformedNavigableSetTest,testTransformedSet_decorateTransform,66,#66
commons-compress,992911d0fcd230497ee3fc50dcf49042b7372a47,org.apache.commons.compress.archivers.zip.Java9ZipEntryTimeTest,testJUZTimes,66,#66
commons-compress,ffa1c55e7f9d8808e4e440effe78e31aa89a4ec1,org.apache.commons.compress.archivers.arj.CoverageTest,testHeaderInstances,66,#66
commons-compress,ffa1c55e7f9d8808e4e440effe78e31aa89a4ec1,org.apache.commons.compress.archivers.arj.CoverageTest,testHostOsInstance,66,#66
commons-compress,ffa1c55e7f9d8808e4e440effe78e31aa89a4ec1,org.apache.commons.compress.archivers.zip.PkWareExtraHeaderTest,testEncryptionAlgorithm,66,#66
commons-compress,ffa1c55e7f9d8808e4e440effe78e31aa89a4ec1,org.apache.commons.compress.archivers.zip.PkWareExtraHeaderTest,testHashAlgorithm,66,#66
commons-csv,3b10c8f8ac64b75c573e0352dbb3d7ff9279d121,org.apache.commons.csv.CSVPrinterTest,testHeaderCommentExcel,14,#14
commons-csv,3b10c8f8ac64b75c573e0352dbb3d7ff9279d121,org.apache.commons.csv.CSVPrinterTest,testHeaderNotSet,66,#66
commons-csv,3b10c8f8ac64b75c573e0352dbb3d7ff9279d121,org.apache.commons.csv.CSVPrinterTest,testSkipHeaderRecordFalse,66,#66
commons-csv,3b10c8f8ac64b75c573e0352dbb3d7ff9279d121,org.apache.commons.csv.CSVPrinterTest,testSkipHeaderRecordTrue,66,#66
commons-csv,2305e0e80c9ceaba6736bea4dbf07c0979279280,org.apache.commons.csv.issues.JiraCsv213Test,test,66,#66
commons-csv,54597a8b8e1d299a6b66de840b5496af96b297d5,org.apache.commons.csv.JiraCsv167Test,parse,66,#66
commons-dbcp,d464d82da3213f1b501064c881f650fbc1645ff0,org.apache.commons.dbcp2.TestBasicDataSourceFactory,testValidateProperties,66,#66
commons-dbutils,fb5ab866d304f30cc04d5ea6afaaa90da35a0ab8,org.apache.commons.dbutils.AsyncQueryRunnerTest,testGoodBatchPmdTrue,10,#10
commons-dbutils,fb5ab866d304f30cc04d5ea6afaaa90da35a0ab8,org.apache.commons.dbutils.AsyncQueryRunnerTest,testGoodQueryPmdTrue,10,#10
commons-dbutils,fb5ab866d304f30cc04d5ea6afaaa90da35a0ab8,org.apache.commons.dbutils.AsyncQueryRunnerTest,testGoodUpdatePmdTrue,10,#10
commons-dbutils,a0ad0be5af9a40436f4bf100b1ff267bc08fe954,org.apache.commons.dbutils.BaseTestCase,testCheckDataSizes,66,#66
commons-net,eec7b631d8708307b1cd6b127c2e9f99eede7958,org.apache.commons.net.tftp.TFTPServerPathTests,testReadOnly,66,#66
commons-net,eec7b631d8708307b1cd6b127c2e9f99eede7958,org.apache.commons.net.tftp.TFTPServerPathTests,testWriteOnly,66,#66
commons-net,eec7b631d8708307b1cd6b127c2e9f99eede7958,org.apache.commons.net.tftp.TFTPServerPathTests,testWriteOutsideHome,66,#66
commons-net,eec7b631d8708307b1cd6b127c2e9f99eede7958,org.apache.commons.net.tftp.TFTPTests,testASCIIDownloads,66,#66
commons-net,eec7b631d8708307b1cd6b127c2e9f99eede7958,org.apache.commons.net.tftp.TFTPTests,testASCIIUploads,66,#66
commons-net,eec7b631d8708307b1cd6b127c2e9f99eede7958,org.apache.commons.net.tftp.TFTPTests,testHugeDownloads,66,#66
commons-net,eec7b631d8708307b1cd6b127c2e9f99eede7958,org.apache.commons.net.tftp.TFTPTests,testHugeUploads,66,#66
commons-net,eec7b631d8708307b1cd6b127c2e9f99eede7958,org.apache.commons.net.tftp.TFTPTests,testTFTPBinaryDownloads,66,#66
commons-net,eec7b631d8708307b1cd6b127c2e9f99eede7958,org.apache.commons.net.tftp.TFTPTests,testTFTPBinaryUploads,66,#66
commons-net,42424fdb6948b948ca64c333b136a0ccf79c619f,org.apache.commons.net.ftp.FTPClientConfigFunctionalTest,testTimeZoneFunctionality,39,#39
commons-pool,fe4945387e2fbc9ba2a9ac4eb7c1fa1d50f40310,org.apache.commons.pool2.PoolTest,testPool,66,#66
commons-text,e85959f7a2caa98b942d4b8a3e1132da7024bda5,org.apache.commons.text.translate.CsvTranslatorsTest,csvEscaperCommaTest,66,#66
commons-text,e85959f7a2caa98b942d4b8a3e1132da7024bda5,org.apache.commons.text.translate.CsvTranslatorsTest,csvEscaperCRTest,66,#66
commons-text,e85959f7a2caa98b942d4b8a3e1132da7024bda5,org.apache.commons.text.translate.CsvTranslatorsTest,csvEscaperLFTest,66,#66
commons-text,e85959f7a2caa98b942d4b8a3e1132da7024bda5,org.apache.commons.text.translate.CsvTranslatorsTest,csvEscaperPlaneTextTest,66,#66
commons-text,e85959f7a2caa98b942d4b8a3e1132da7024bda5,org.apache.commons.text.translate.CsvTranslatorsTest,csvEscaperQuoteTest,66,#66
commons-text,e85959f7a2caa98b942d4b8a3e1132da7024bda5,org.apache.commons.text.translate.CsvTranslatorsTest,csvUnEscaperPlaneTextTest,66,#66
commons-text,e85959f7a2caa98b942d4b8a3e1132da7024bda5,org.apache.commons.text.translate.CsvTranslatorsTest,csvUnEscaperTest1,66,#66
commons-text,e85959f7a2caa98b942d4b8a3e1132da7024bda5,org.apache.commons.text.translate.CsvTranslatorsTest,csvUnEscaperTest2,66,#66
commons-text,e85959f7a2caa98b942d4b8a3e1132da7024bda5,org.apache.commons.text.translate.CsvTranslatorsTest,csvUnEscaperTest3,66,#66
commons-text,e85959f7a2caa98b942d4b8a3e1132da7024bda5,org.apache.commons.text.translate.CsvTranslatorsTest,csvUnEscaperTest4,66,#66
commons-math,0ec92a0fc205fb0704d3b9032b88ebb0d4e561a9,org.apache.commons.math.analysis.polynomials.PolynomialFunctionTest,testfirstDerivativeComparison,30,#30
commons-math,0ec92a0fc205fb0704d3b9032b88ebb0d4e561a9,org.apache.commons.math.analysis.polynomials.PolynomialFunctionTest,testMath341,30,#30
commons-math,0ec92a0fc205fb0704d3b9032b88ebb0d4e561a9,org.apache.commons.math.util.MathUtilsTest,testScalb,30,#30
commons-math,96c2ce398318fdc1c4ebb865ef06061e72c6e5fd,org.apache.commons.math.transform.FastHadamardTransformerTest,testNoIntInverse,12,#12